"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000011597",4922.36182250484,-2.06525813059494,1.16375364714394,-1.77465233785816,0.0759553096662503,0.499247074622694
"ENSDARG00000011600",983.077229463041,0.719971722000843,1.21039326155384,0.594824628382827,0.551960703065236,0.91134578814576
"ENSDARG00000011602",240.514171986918,1.65916087248473,1.0139687749413,1.63630371416594,0.101776039161367,0.554725923272984
"ENSDARG00000011604",10.5527656632231,-6.55459989492082,3.42045683504516,-1.91629370315801,0.0553277219294147,NA
"ENSDARG00000011605",354.743525311823,1.86746034476376,1.26119162141361,1.48071102999449,0.138683593481621,0.616055156609313
"ENSDARG00000011609",1070.35586638717,-1.21287814311173,1.24101396598643,-0.977328359191882,0.328406617615321,0.803987891246007
"ENSDARG00000011611",6625.18955813574,-1.77534497784698,1.03875781621265,-1.70910384512914,0.0874317154694397,0.525419626830684
"ENSDARG00000011613",2828.76615018917,-0.498078579782406,0.943010564818268,-0.528179214915151,0.597374954245825,0.923000629882834
"ENSDARG00000011615",150.504235438479,-1.22075744487609,1.22507486921949,-0.996475787356442,0.319019025724619,0.796301303657105
"ENSDARG00000011618",202.084628403896,-0.82905299573544,1.10976207073578,-0.747054722446744,0.455030529465604,0.875095663292209
"ENSDARG00000011633",15.670444031869,-1.920276251307,2.15380564316446,-0.891573600153473,0.372621525664728,0.834274659836548
"ENSDARG00000011635",9.32584390861829,1.43459907374271,3.11555979602586,0.460462699375135,0.645184139227366,NA
"ENSDARG00000011636",466.603425363032,-0.684812474270943,1.4818351622092,-0.462138091830664,0.643982295319379,0.934598384339409
"ENSDARG00000011637",723.69880924258,-1.38790012987694,0.936771244764127,-1.48157849382578,0.138452484911682,0.615986598532016
"ENSDARG00000011640",2610.00509187763,-2.52543938110285,1.3004943138845,-1.94190728413069,0.0521483254397796,0.428839730657099
"ENSDARG00000011648",176.733833424413,-0.390647986193682,1.20348688262686,-0.324596796053989,0.745486252419332,0.959598093231142
"ENSDARG00000011661",1038.86722194343,1.21987724083025,0.895420307118231,1.36235154723734,0.173086967101973,0.665474997587848
"ENSDARG00000011662",600.70101178318,-0.238720728772007,0.897584367983792,-0.265959097870917,0.790270709988395,0.969130508679634
"ENSDARG00000011665",14920.6164769471,-0.427602317383675,0.934608944783338,-0.457520035272936,0.647297304923784,0.935723726742967
"ENSDARG00000011666",1573.00849259051,-1.98188481963616,0.88979080715804,-2.22736041291124,0.0259231959203655,0.315684255735653
"ENSDARG00000011671",115.433722024372,-1.17678488010257,1.56496969088502,-0.751953783486425,0.452078852538565,0.874604176731744
"ENSDARG00000011672",401.774229333675,1.09797004466576,1.12197580608194,0.97860402935068,0.327775667602714,0.803697184087063
"ENSDARG00000011673",663.087179754519,-0.292685263514991,1.28986065443619,-0.226912312200829,0.820491928005069,0.974006467800024
"ENSDARG00000011683",61.8971720112724,0.878520976033651,1.21071333451888,0.725622615185588,0.468070153244257,0.881572458529956
"ENSDARG00000011693",95.3929016982968,-0.439553334453371,1.13798181496951,-0.386256905577306,0.69930641296982,0.949601826950297
"ENSDARG00000011696",78.9927459146907,-0.0956586953952828,1.43712376943319,-0.0665626005427571,0.946929920127719,0.995142481323668
"ENSDARG00000011703",151.425088568603,1.07520790452848,1.01745069236146,1.05676659576786,0.290618123048348,0.777367890261693
"ENSDARG00000011723",105.919699368247,-1.56819031386962,1.59805195705255,-0.981313721965583,0.326438058005266,0.802044039904463
"ENSDARG00000011724",50.4131675874844,2.89948584309093,1.46158035532246,1.98380187071632,0.0472779315207979,0.413910787855486
"ENSDARG00000011727",234.056112090969,-0.542274330963066,1.065229948188,-0.5090678607802,0.610704658546908,0.926180024324027
"ENSDARG00000011740",1807.02287390172,-1.3708235328906,1.30641254889091,-1.04930370888918,0.294038359560973,0.780813082993757
"ENSDARG00000011743",815.41804170921,-1.13248333210227,1.12518545184116,-1.00648593549549,0.314181873838978,0.792820882026608
"ENSDARG00000011764",278.621691484028,0.207453580533686,1.03413291979071,0.200606301727317,0.841006430177655,0.976900843771649
"ENSDARG00000011769",813.37253246152,-0.256001498218728,1.06128965640965,-0.241217368578511,0.809386650114709,0.973354782583963
"ENSDARG00000011770",443.373265445832,-0.315121825450012,1.12626180628492,-0.279794470247969,0.779635194436844,0.965979393448545
"ENSDARG00000011777",882.678184725457,0.0479390643119511,1.09547417622271,0.0437610172402687,0.965094901033369,0.996889008305667
"ENSDARG00000011783",931.559745105417,-0.580113159892313,0.933570516649185,-0.621391902964634,0.534341798268712,0.904721641836625
"ENSDARG00000011797",449.449358362879,0.185922562332233,1.15813125654614,0.160536693299086,0.872458319368113,0.9839633302718
"ENSDARG00000011801",14.9995827196706,-0.649362114261731,2.13548382997732,-0.304081962666338,0.761065448287798,0.962836549508251
"ENSDARG00000011809",62.9694744758372,2.94620532453013,1.38791215369342,2.12276066369898,0.0337739126620659,0.360561452084835
"ENSDARG00000011819",1726.68945467223,-0.308466844175535,0.944874412499293,-0.326463326866486,0.744073831587056,0.959598093231142
"ENSDARG00000011821",434.593844037378,-0.0696591935168023,1.19537323311285,-0.0582740114862738,0.953530368156833,0.996329804347268
"ENSDARG00000011824",211.770302888756,0.214652818971277,1.11813142681393,0.191974587086709,0.847762111730287,0.978749873620149
"ENSDARG00000011825",46.329463804806,1.06943770149822,1.28743295889791,0.830674478315128,0.406157547810252,0.853504799906452
"ENSDARG00000011830",339.650879729592,0.719674837723389,1.04847126302876,0.686403970333376,0.492458401496184,0.890841505760814
"ENSDARG00000011837",424.459015888892,-1.08927793569197,1.16576166918856,-0.9343916209307,0.350101918363693,0.819126845097485
"ENSDARG00000011841",1621.21749273709,-0.0515371899373441,1.00808445401188,-0.0511238812703055,0.959226806370588,0.996889008305667
"ENSDARG00000011845",68.3173095730768,1.05233941311293,1.20407462404685,0.873981887913272,0.382128117396062,0.8400858274189
"ENSDARG00000011851",368.059154305114,2.55742084485462,1.08858071829926,2.34931668535356,0.0188079027107891,0.271969648846132
"ENSDARG00000011855",188.821942109541,3.00740637679647,1.4852303225813,2.0248754223989,0.0428801579058365,0.398277819299701
"ENSDARG00000011862",129.371263188226,-2.27005048841483,1.32792198773825,-1.70947578952378,0.0873628525960559,0.525419626830684
"ENSDARG00000011863",513.654213600563,-0.790174901570938,0.939749291917729,-0.840835857357703,0.400439896189012,0.850137163289683
"ENSDARG00000011870",155.967979861028,0.248971016433652,0.985181630278628,0.252715853383541,0.800487796229158,0.971851151996914
"ENSDARG00000011876",4146.20797362207,0.315053948060656,1.26184343554519,0.249677526692948,0.802836738975125,0.971990512847264
"ENSDARG00000011879",48.4794201888387,2.35609690748275,2.35807268190732,0.99916212318656,0.317716161054641,0.795810484646206
"ENSDARG00000011884",12.4296913330078,-1.48085439181238,2.07361472901588,-0.71414152836153,0.47513966882645,NA
"ENSDARG00000011885",137.588647510125,-0.153016334335684,1.05848205237918,-0.14456204901325,0.885056662901641,0.984307396844187
"ENSDARG00000011886",161.342893088883,-1.08448852947864,1.45025776466344,-0.74779019006343,0.454586720157713,0.875095663292209
"ENSDARG00000011890",360.316507095731,-0.772197096852511,0.96972198969695,-0.796307709897176,0.42585320540811,0.861768446552109
"ENSDARG00000011897",229.320882383883,0.678019790258408,1.02709955431483,0.660130546654467,0.50917005755964,0.89579589913163
"ENSDARG00000011909",286.785287682518,-0.286127068739368,0.99638181770431,-0.287166087994874,0.773985151089474,0.965052958576572
"ENSDARG00000011921",1613.55163049158,-0.860971280457646,0.864618367479429,-0.995781853406127,0.319356149152225,0.796624318883613
"ENSDARG00000011925",167.593942684988,0.592102579643156,1.18571600891654,0.499362895660148,0.617523753576391,0.927392759917225
"ENSDARG00000011926",515.588698228953,1.16635537185323,1.10742536565981,1.05321352392746,0.292243141596702,0.779190851821315
"ENSDARG00000011929",17.4621283151643,-2.35882402755893,2.29138232238085,-1.0294327596575,0.303276361596732,0.786401368050593
"ENSDARG00000011931",101.021132728575,-3.10188876570116,1.1891057060551,-2.60858958955953,0.00909162094928656,0.192072606921412
"ENSDARG00000011932",899.858900720694,-0.968031628282953,0.983863438145926,-0.983908529121879,0.325160489679089,0.800933059213543
"ENSDARG00000011934",1581.95695651202,0.751809877001892,1.25491416369698,0.59909267004132,0.549111089373187,0.909786401814455
